시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자
성정시장,상설장,충청남도 천안시 서북구 양지21길 31,충청남도 천안시 서북구 성정동 736-7,매일,36.81267105,127.1392027,66,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1988,041-579-8258,2025-11-10
천안역전시장,상설장,충청남도 천안시 동남구 공설시장2길 15,충청남도 천안시 동남구 대흥동 10-12,매일,36.81006288,127.1498779,99,농산물+축산물+의류+가정용품+음식점,,,Y,Y,1955,041-522-9954,2025-11-10
천안중앙시장(구 남산중앙시장),상설장,충청남도 천안시 동남구 사직2길 19 (남산중앙시장상인회),충청남도 천안시 동남구 사직동 263,매일,36.80032317,127.1484498,520,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1918,041-553-1135,2025-11-10
병천시장,상설장,충청남도 천안시 동남구 병천면 아우내장터1길 46,충청남도 천안시 동남구 병천면 병천리 163-2,1일+6일,36.76242111,127.2981701,115,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1918,,2025-11-10
성환이화시장,상설장,충청남도 천안시 서북구 성환읍 종합시장길 17,충청남도 천안시 서북구 성환읍 성환리 449-1111,1일+6일,36.91925493,127.1298906,80,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1914,,2025-11-10
자유시장,,,충청남도 천안시 성황동 86번지 2호,,,,,,,,,,,,
중앙시장,,,충청남도 천안시 동남구 병천면 병천리 360번지 1호   ,,,,,,,,,,,,
천일시장,,,충청남도 천안시 서북구 성환읍 성환리 449번지 1호   ,,,,,,,,,,,,
