objt_id,fclty_ty,fclty_cd,fclty_nm,adres,rn_adres,telno,ctprvn_cd,sgg_cd,emd_cd,x,y,data_yr
237373,편의점,509010,씨유천안다가일등점,충청남도 천안시 동남구 다가동 379-1,충청남도 천안시 동남구 다가8길 2,,44,44131,44131114,14152864.31,4411345.942,2025
237375,편의점,509010,씨유천안성성동원점,충청남도 천안시 서북구 성성동 760,충청남도 천안시 서북구 성성11길 14,,44,44133,44133105,14152798.69,4417231.144,2025
237382,편의점,509010,씨유천안직산,충청남도 천안시 서북구 직산읍 모시리 242-5,충청남도 천안시 서북구 직산읍 2공단5로 169,,44,44133,44133256,14150989.33,4419844.181,2025
237386,편의점,509010,에스엔에스무인분식천안,충청남도 천안시 서북구 백석동 993,충청남도 천안시 서북구 한들2로 34-46,,44,44133,44133103,14151308.48,4415137.298,2025
237393,편의점,509010,세븐일레븐천안렉스빌점,충청남도 천안시 서북구 성정동 1271,충청남도 천안시 서북구 성정공원6길 1-10,,44,44133,44133102,14152969.97,4415385.462,2025
237394,편의점,509010,아이스크림저장소,충청남도 천안시 서북구 백석동 1193,충청남도 천안시 서북구 한들3로 70,,44,44133,44133103,14151563.54,4415458.455,2025
237397,편의점,509010,씨유천안불당너울점,충청남도 천안시 서북구 불당동 1093,충청남도 천안시 서북구 불당8길 10,,44,44133,44133108,14149470.53,4411591.823,2025
237398,편의점,509010,세븐일레븐천안유량타운점,충청남도 천안시 동남구 유량동 239-7,충청남도 천안시 동남구 향교1길 120,,44,44131,44131112,14156697.39,4413279.41,2025
237403,편의점,509010,세븐일레븐천안율금공단점,충청남도 천안시 서북구 성환읍 율금리 687-3,충청남도 천안시 서북구 성환읍 연암율금로 180,,44,44133,44133250,14149203.62,4424699.909,2025
237405,편의점,509010,세븐일레븐천안불당파크빌점,충청남도 천안시 서북구 불당동 1047,충청남도 천안시 서북구 불당2길 20,,44,44133,44133108,14149524.75,4411727.034,2025
237406,편의점,509010,씨유천안역필,충청남도 천안시 동남구 문화동 181,충청남도 천안시 동남구 성황로 66,,44,44131,44131107,14155022.88,4412950.379,2025
237409,편의점,509010,씨유남,충청남도 천안시 서북구 성환읍 성월리 64-2,충청남도 천안시 서북구 성환읍 성진로 55,,44,44133,44133250,14153358.35,4426843.418,2025
237419,편의점,509010,이마트24천안두정,충청남도 천안시 서북구 두정동 1448,충청남도 천안시 서북구 두정상가5길 24,,44,44133,44133104,14153573.31,4415715.821,2025
237421,편의점,509010,지에스25천안1번국도점,충청남도 천안시 서북구 신당동 627-3,충청남도 천안시 서북구 천안대로 1403,,44,44133,44133110,14154194.74,4420447.945,2025
237422,편의점,509010,씨유천안용원,충청남도 천안시 동남구 성남면 용원리 148-11,충청남도 천안시 동남구 성남면 성남로 236,,44,44131,44131340,14161701.45,4404761.848,2025
237423,편의점,509010,세븐일레븐천안성진로점,충청남도 천안시 서북구 입장면 신두리 408-3,충청남도 천안시 서북구 입장면 성진로 591,,44,44133,44133310,14159462.86,4426872.898,2025
237428,편의점,509010,제이씨푸드시스템CU남서울대생활관점,충청남도 천안시 서북구 성환읍 매주리 21,충청남도 천안시 서북구 성환읍 대학로 91,,44,44133,44133250,14153534.67,4426488.308,2025
237429,편의점,509010,픽미픽미성정목화점,충청남도 천안시 서북구 성정동 657-8,충청남도 천안시 서북구 서부3길 42,,44,44133,44133102,14153184.76,4414354.299,2025
237430,편의점,509010,씨유천안성정두꺼비점,충청남도 천안시 서북구 성정동 671-7,충청남도 천안시 서북구 서부12길 31,,44,44133,44133102,14153112.18,4414132.955,2025
237434,편의점,509010,씨유천안양당산업단지점,충청남도 천안시 서북구 직산읍 양당리 234-1,충청남도 천안시 서북구 직산읍 부송로 191,,44,44133,44133256,14150113.54,4422727.498,2025
237438,편의점,509010,씨유단국대천안의학관점,충청남도 천안시 동남구 안서동 산29,충청남도 천안시 동남구 단대로 119,,44,44131,44131118,14155966.86,4416265.563,2025
237439,편의점,509010,씨유천안대룡점,충청남도 천안시 동남구 대흥동 105-1,충청남도 천안시 동남구 명동길 45,,44,44131,44131101,14154107,4412287.983,2025
237442,편의점,509010,씨유천안목천동우점,충청남도 천안시 동남구 목천읍 신계리 422-11,충청남도 천안시 동남구 목천읍 신계1길 39,,44,44131,44131250,14159281.22,4407200.309,2025
237443,편의점,509010,지에스25성성,충청남도 천안시 서북구 성성동 694,충청남도 천안시 서북구 성성9로 7,,44,44133,44133105,14152185.93,4416856.367,2025
237446,편의점,509010,세븐일레븐천안목천IC점,충청남도 천안시 동남구 목천읍 운전리 343-5,충청남도 천안시 동남구 목천읍 충절로 1136,,44,44131,44131250,14163556.99,4407005.926,2025
237447,편의점,509010,GS25성정5단지점,충청남도 천안시 서북구 성정동 709-15,충청남도 천안시 서북구 성정4길 17,,44,44133,44133102,14152866.02,4413397.303,2025
237451,편의점,509010,세븐일레븐천안성환,충청남도 천안시 서북구 성환읍 성환리 371-2,충청남도 천안시 서북구 성환읍 성환11길 40,,44,44133,44133250,14152288.61,4427446.501,2025
237453,편의점,509010,세븐일레븐천안두정하이스타운점,충청남도 천안시 서북구 두정동 1327,충청남도 천안시 서북구 두정상가8길 30,,44,44133,44133104,14153304.38,4415727.819,2025
237456,편의점,509010,세븐일레븐천안불당더다움점,충청남도 천안시 서북구 불당동 1538,충청남도 천안시 서북구 불당21로 65,,44,44133,44133108,14149530.71,4413087.385,2025
237458,편의점,509010,씨유천안성정원룸점,충청남도 천안시 서북구 성정동 1203,충청남도 천안시 서북구 성정중3길 13,,44,44133,44133102,14152805.5,4415190.083,2025
237459,편의점,509010,GS25성정,충청남도 천안시 서북구 성정동 736-4,충청남도 천안시 서북구 양지22길 48,,44,44133,44133102,14153110.03,4413076.897,2025
237461,편의점,509010,씨유천안쌍용,충청남도 천안시 서북구 쌍용동 846,충청남도 천안시 서북구 봉서2길 4,,44,44133,44133107,14151980.37,4412381.357,2025
237465,편의점,509010,세븐일레븐천안성정,충청남도 천안시 서북구 성정동 1504,충청남도 천안시 서북구 성정공원1길 9-4,,44,44133,44133102,14153049.5,4414993.965,2025
237468,편의점,509010,세븐천안성정사랑점,충청남도 천안시 서북구 성정동 1356,충청남도 천안시 서북구 성정공원5로 39,,44,44133,44133102,14153384.82,4415164.268,2025
237477,편의점,509010,픽미픽미성정선경점,충청남도 천안시 서북구 성정동 883-2,충청남도 천안시 서북구 도원7길 15,,44,44133,44133102,14152496.82,4414146.751,2025
237480,편의점,509010,세븐일레븐천안입장신덕점,충청남도 천안시 서북구 입장면 신덕리 78,충청남도 천안시 서북구 입장면 입장로 29,,44,44133,44133310,14161937.83,4425724.93,2025
237483,편의점,509010,씨유천안천아이유쉘점,충청남도 천안시 서북구 성정동 1562,충청남도 천안시 서북구 천안천6길 33,,44,44133,44133102,14154184.57,4413664.395,2025
237488,편의점,509010,세븐일레븐천안한성점,충청남도 천안시 서북구 두정동 1652,충청남도 천안시 서북구 두정역길 23,,44,44133,44133104,14154070.61,4416176.273,2025
237489,편의점,509010,세븐일레븐천안쌍용초점,충청남도 천안시 서북구 쌍용동 1318,충청남도 천안시 서북구 쌍용11길 34,,44,44133,44133107,14151196.8,4411568.62,2025
237490,편의점,509010,씨유천안월봉단밤점,충청남도 천안시 서북구 쌍용동 1367,충청남도 천안시 서북구 월봉4로 140-9,,44,44133,44133107,14150499.24,4411238.338,2025
237498,편의점,509010,이마트24천안안서이편한점,충청남도 천안시 동남구 안서동 181,충청남도 천안시 동남구 성불사길 41,,44,44131,44131119,14158665.4,4415430.281,2025
237500,편의점,509010,지에스25천안운동장점,충청남도 천안시 서북구 백석동 270-6,충청남도 천안시 서북구 백석3로 35,,44,44133,44133103,14150455.92,4414307.754,2025
237509,편의점,509010,씨유천안쌍용봉서점,충청남도 천안시 서북구 쌍용동 960,충청남도 천안시 서북구 미라13길 14,,44,44133,44133107,14152060.13,4412001.423,2025
237510,편의점,509010,세븐일레븐천안직산포도점,충청남도 천안시 서북구 직산읍 판정리 387-3,충청남도 천안시 서북구 직산읍 성진로 324-3,,44,44133,44133256,14156413.06,4426094.252,2025
237511,편의점,509010,지에스25두정앨리스점,충청남도 천안시 서북구 두정동 1074,충청남도 천안시 서북구 부성1길 51-11,,44,44133,44133104,14152581.11,4416584.684,2025
237512,편의점,509010,한성필마트,충청남도 천안시 동남구 문화동 3-21,충청남도 천안시 동남구 중앙로 140,,44,44131,44131103,14154614.11,4412780.745,2025
237514,편의점,509010,씨유병천신한점,충청남도 천안시 동남구 병천면 가전리 68-3,충청남도 천안시 동남구 병천면 충절로 1638,,44,44131,44131360,14169713.22,4406404.325,2025
237516,편의점,509010,세븐일레븐천안성정,충청남도 천안시 서북구 성정동 1407,충청남도 천안시 서북구 성정공원4길 20,,44,44133,44133102,14153501.64,4414985.724,2025
237523,편의점,509010,씨유천안불당타운점,충청남도 천안시 서북구 불당동 1632,충청남도 천안시 서북구 불당33길 48,,44,44133,44133108,14149440.92,4412783.559,2025
237525,편의점,509010,이마트24천안두정,충청남도 천안시 서북구 두정동 781,충청남도 천안시 서북구 오성4길 12,,44,44133,44133104,14152361.66,4415631.95,2025
237529,편의점,509010,지에스25신부,충청남도 천안시 동남구 신부동 945-40,충청남도 천안시 동남구 중앙로 255-80,,44,44131,44131118,14154267.51,4413896.549,2025
237540,편의점,509010,세븐일레븐천안신부,충청남도 천안시 동남구 신부동 62-51,충청남도 천안시 동남구 신부8길 2,,44,44131,44131118,14155496.7,4413390.178,2025
237541,편의점,509010,씨유천안법조점,충청남도 천안시 동남구 청당동 492,충청남도 천안시 동남구 청수4로 16,,44,44131,44131111,14154593.9,4408941.61,2025
237544,편의점,509010,씨유천안백석,충청남도 천안시 서북구 백석동 394-1,충청남도 천안시 서북구 한들1로 55-42,,44,44133,44133103,14150412.09,4414924.598,2025
237546,편의점,509010,지에스25신방,충청남도 천안시 동남구 신방동 1058,충청남도 천안시 동남구 통정12로 18,,44,44131,44131116,14152049.8,4408261.084,2025
237551,편의점,509010,씨유천안백석,충청남도 천안시 서북구 백석동 1032,충청남도 천안시 서북구 한들3로 85-80,,44,44133,44133103,14151220.14,4415541.699,2025
237554,편의점,509010,지에스25백석대문화,충청남도 천안시 동남구 안서동 526-64,충청남도 천안시 동남구 문암로 47,,44,44131,44131119,14157510.24,4416814.759,2025
237555,편의점,509010,세븐일레븐천안신풍공단점,충청남도 천안시 동남구 수신면 신풍리 611,충청남도 천안시 동남구 수신면 5산단4로 161,,44,44131,44131350,14167481.79,4402715.745,2025
237558,편의점,509010,지에스25불당베스트점,충청남도 천안시 서북구 불당동 1542,충청남도 천안시 서북구 불당25로 152,,44,44133,44133108,14149568.4,4413295.81,2025
237561,편의점,509010,세븐천안삼성점,충청남도 천안시 서북구 성성동 478-1,충청남도 천안시 서북구 4산단로 58,,44,44133,44133105,14150462.05,4417773.63,2025
237564,편의점,509010,씨유천안성정완소점,충청남도 천안시 서북구 성정동 728-8,충청남도 천안시 서북구 양지10길 65,,44,44133,44133102,14153234.19,4413104.488,2025
237568,편의점,509010,씨유천안미소지움점,충청남도 천안시 동남구 구성동 288-12,충청남도 천안시 동남구 천안대로 483-5,,44,44131,44131108,14155848.86,4410029.564,2025
237570,편의점,509010,GS25쌍용,충청남도 천안시 서북구 쌍용동 888,충청남도 천안시 서북구 미라15길 25,,44,44133,44133107,14152244.24,4412257.348,2025
237572,편의점,509010,세븐일레븐천안안서점,충청남도 천안시 동남구 안서동 76-2,충청남도 천안시 동남구 문암6길 2,,44,44131,44131119,14158358.93,4417455.77,2025
237575,편의점,509010,지에스25성거로얄점,충청남도 천안시 서북구 성거읍 천흥리 533-1,충청남도 천안시 서북구 성거읍 성거길 154,,44,44133,44133253,14160319,4422185.127,2025
237579,편의점,509010,지에스25두정역길점,충청남도 천안시 서북구 두정동 1622,충청남도 천안시 서북구 두정역길 5,,44,44133,44133104,14153834.19,4416228.142,2025
237580,편의점,509010,세븐천안렉스빌점,충청남도 천안시 서북구 성정동 1271,충청남도 천안시 서북구 성정공원6길 1-10,,44,44133,44133102,14152969.97,4415385.462,2025
237584,편의점,509010,씨유천안성환누리점,충청남도 천안시 서북구 성환읍 수향리 430-16,충청남도 천안시 서북구 성환읍 천안대로 2345,,44,44133,44133250,14152303.97,4431870.661,2025
