center_adm_cd,center_adm_nm,grid_count,pop_2024_grid_sum,pop_ratio_sum,pop_2026_adm,pop_2026_est_sum,pop_2026_est_int_sum,households_2026_adm,households_2026_est_int_sum,allocation_method,fallback_grid_cd
34011110,목천읍,63,23430.0,1.0,21741,21741.0,21741,11190,11190,center_in_ratio,
34011310,풍세면,31,10064.0,1.0,10559,10559.0,10559,5450,5450,center_in_ratio,
34011320,광덕면,80,4247.0,1.0,3946,3946.0,3946,2275,2275,center_in_ratio,
34011330,북면,58,4381.0,1.0,4000,4000.0,4000,2407,2407,center_in_ratio,
34011340,성남면,32,3677.0,1.0,2738,2738.0,2738,1518,1518,center_in_ratio,
34011350,수신면,27,2687.0,1.0,1991,1991.0,1991,1211,1211,center_in_ratio,
34011360,병천면,54,6661.0,1.0,5833,5833.0,5833,3622,3622,center_in_ratio,
34011370,동면,42,2304.0,1.0,1872,1872.0,1872,1134,1134,center_in_ratio,
34011510,중앙동,1,11342.0,1.0,4438,4438.0,4438,2778,2778,center_in_ratio,
34011520,문성동,1,15707.0,1.0,7783,7783.0,7783,3917,3917,center_in_ratio,
34011530,원성1동,6,4786.0,1.0,7481,7481.0,7481,3982,3982,center_in_ratio,
34011540,원성2동,1,9469.0,1.0,8471,8471.0,8471,4758,4758,center_in_ratio,
34011550,봉명동,1,12655.0,1.0,17062,17062.0,17062,9220,9220,center_in_ratio,
34011560,일봉동,3,37442.0,1.0,24139,24139.0,24139,9898,9898,center_in_ratio,
34011570,신방동,5,35276.0,1.0,42512,42512.0,42512,19620,19620,center_in_ratio,
34011580,청룡동,18,60148.0,1.0,59895,59895.0,59895,24809,24809,center_in_ratio,
34011590,신안동,12,42297.0,1.0,39091,39091.0,39091,21497,21497,center_in_ratio,
34012110,성환읍,58,29095.0,1.0,21420,21420.0,21420,11145,11145,center_in_ratio,
34012120,성거읍,32,24670.0,1.0,21270,21270.0,21270,10426,10426,center_in_ratio,
34012130,직산읍,31,16175.0,1.0,18944,18944.0,18944,9978,9978,center_in_ratio,
34012310,입장면,43,10259.0,1.0,7344,7344.0,7344,4155,4155,center_in_ratio,
34012510,성정1동,2,23482.0,1.0,16791,16791.0,16791,9595,9595,center_in_ratio,
34012520,성정2동,2,25858.0,1.0,24372,24372.0,24372,17678,17678,center_in_ratio,
34012540,쌍용2동,2,32615.0,1.0,33615,33615.0,33615,14858,14858,center_in_ratio,
34012550,쌍용3동,2,19184.0,1.0,16771,16771.0,16771,8080,8080,center_in_ratio,
34012580,백석동,5,49941.0,1.0,40219,40219.0,40219,15397,15397,center_in_ratio,
34012600,부성1동,12,42529.0,1.0,56748,56748.0,56748,29293,29293,center_in_ratio,
34012610,부성2동,7,65613.0,1.0,63798,63798.0,63798,27845,27845,center_in_ratio,
34012620,불당1동,2,24579.0,1.0,31504,31504.0,31504,13125,13125,center_in_ratio,
34012630,불당2동,3,33867.0,1.0,37303,37303.0,37303,14369,14369,center_in_ratio,
34012530,쌍용1동,0,0.0,0.0,12207,12207.0,12207,6141,6141,fallback_admin_representative_point,다바6767
